EventID,EventDate,X,Y,Z,ZoneID,PlumeID,SuperPlume,spatialdist
267435-2018,12/13/2018 0:00:00,2535244.68873811,6995840.012587929,346,47262,2209,2210,549.8432613102075
259843-2018,12/3/2018 0:00:00,2535334.65082853,6995888.04037902,336,47295,2209,2210,538.1813423125382
006273-2019,1/8/2019 0:00:00,2534943.1483306894,6996104.63738677,372,47386,2209,2210,540.707561998135
006276-2019,1/9/2019 0:00:00,2534943.1483306894,6996104.63738677,373,47386,2209,2210,540.707561998135
263831-2018,12/8/2018 0:00:00,2535175.34143586,6996345.652652768,341,47672,2209,2210,546.7852945670285
009154-2019,1/13/2019 0:00:00,2535175.34143586,6996345.652652768,377,47672,2209,2210,546.7852945670285
008937-2019,1/12/2019 0:00:00,2535348.89062944,6996369.26907535,376,47672,2209,2210,546.7852945670285
000735-2019,1/2/2019 0:00:00,2534707.60779127,6996408.58461352,366,47698,2209,2210,543.3583256227262
270178-2018,12/13/2018 0:00:00,2534853.4129458694,6996559.67781527,346,47698,2209,2210,543.3583256227262
272311-2018,12/20/2018 0:00:00,2534546.7610001094,6996443.7403831,353,47856,2209,2210,548.2507944265299
249600-2018,11/16/2018 0:00:00,2534804.54198061,6996508.93710311,319,47698,2209,2210,543.3583256227262
260459-2018,12/2/2018 0:00:00,2534901.96665452,6996610.04582477,335,47698,2209,2210,543.3583256227262
025109-2019,2/5/2019 0:00:00,2534734.45025727,6996637.3620431,400,47856,2209,2210,548.2507944265299
020004-2019,1/28/2019 0:00:00,2534734.45025727,6996637.3620431,392,47856,2209,2210,548.2507944265299
020003-2019,1/29/2019 0:00:00,2534734.45025727,6996637.3620431,393,47856,2209,2210,548.2507944265299
012689-2019,1/19/2019 0:00:00,2535721.0657381094,6996590.16430286,383,47613,2209,2210,541.1764902178417
017767-2019,1/26/2019 0:00:00,2535721.3885721094,6996749.66201535,390,47672,2209,2210,546.7852945670285
013512-2019,1/19/2019 0:00:00,2535559.07262377,6997034.65324327,383,48108,2209,2210,556.2584949257931
278163-2018,12/29/2018 0:00:00,2536193.79215486,6996733.384160769,362,47766,2209,2210,543.8337102845719
008540-2019,1/13/2019 0:00:00,2535900.82981427,6997186.59355618,377,48018,2209,2210,553.8999044098732
268788-2018,12/16/2018 0:00:00,2536656.99398436,6997016.5246706,349,48046,2209,2210,565.7245978552288
008672-2019,1/7/2019 0:00:00,2536330.71904635,6996812.21143094,371,47766,2209,2210,543.8337102845719
268863-2018,12/16/2018 0:00:00,2535996.573061109,6997285.465733768,349,48018,2209,2210,553.8999044098732
271103-2018,12/18/2018 0:00:00,2536158.66230386,6997453.08383685,351,48018,2209,2210,553.8999044098732
008679-2019,1/13/2019 0:00:00,2536696.597251609,6997085.891001689,377,48046,2209,2210,565.7245978552288
258357-2018,11/30/2018 0:00:00,2536111.328737109,6997819.57588603,333,48190,2209,2210,552.6434936004981
279073-2018,12/30/2018 0:00:00,2536473.7358207,6997889.15645552,363,48250,2209,2210,544.6495848275396
012007-2019,1/17/2019 0:00:00,2536581.6352112,6997350.50792652,381,48018,2209,2210,553.8999044098732
251563-2018,11/9/2018 0:00:00,2536197.94601794,6997972.32754903,312,48250,2209,2210,544.6495848275396
266461-2018,12/12/2018 0:00:00,2536731.00499119,6997982.07818569,345,48347,2209,2210,556.8637586838445
006386-2019,1/9/2019 0:00:00,2536544.07688735,6998289.44830585,373,48509,2209,2210,273.3906949841253
005419-2019,1/8/2019 0:00:00,2536661.55171803,6998391.86312728,372,48509,2209,2210,273.3906949841253
250228-2018,11/19/2018 0:00:00,2536270.4445606,6997820.90692011,322,48190,2209,2210,552.6434936004981
234883-2018,10/26/2018 0:00:00,2536158.66230386,6997453.08383685,298,48018,2209,2210,553.8999044098732
234896-2018,10/26/2018 0:00:00,2536314.07931586,6997462.08185035,298,48018,2209,2210,553.8999044098732
235621-2018,10/28/2018 0:00:00,2535995.276475769,6998441.24393402,300,49022,2209,2210,281.8030636536732
249761-2018,11/18/2018 0:00:00,2535995.276475769,6998441.24393402,321,49022,2209,2210,281.8030636536732
